coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss
ada,1041.6666666666665,1316.246297103315,9,16.0,87,33,19.442995798272875,54,-6.025417856290533
ada,1041.6666666666665,1308.1952425599718,9,16.5,84,33,19.04915497012825,51,-6.28287983243648
ada,1041.6666666666665,1273.475407290244,9,17.0,82,33,18.289007818702835,49,-6.735956137284689
ada,1041.6666666666665,1240.041054765237,9,17.5,81,28,21.63210770071753,53,-6.899206808582145
ada,1041.6666666666665,1207.4595752401383,9,18.0,80,26,22.61291652469184,54,-7.045856562997244
ada,1041.6666666666665,1192.1051440267863,9,18.5,77,26,22.007275877170407,51,-7.452628015287153
ada,1041.6666666666665,1178.8313110368326,9,19.0,73,26,21.231683066521637,47,-7.94026486580275
ada,1041.6666666666665,-117.47236341359196,10,2.0,2253,588,2.877172601867984,1665,-1.6872371491363176
ada,1041.6666666666665,253.61314916910402,10,2.5,1621,436,3.4606115715219583,1185,-1.9031337519109444
ada,1041.6666666666665,510.1635185578549,10,3.0,1215,344,3.9338587643200804,871,-2.1160549900898453
ada,1041.6666666666665,707.1410474646505,10,3.5,949,281,4.4667732821448665,668,-2.3173985700869135
ada,1041.6666666666665,940.648349556825,10,4.0,747,236,5.240128440700612,511,-2.536246501856202
ada,1041.6666666666665,1026.028758395127,10,4.5,613,200,5.762817361450221,413,-2.7276869585833383
ada,1041.6666666666665,1060.6235223440447,10,5.0,523,172,6.198500453510381,351,-2.864725229799831
ada,1041.6666666666665,985.4333581270172,10,5.5,469,156,6.279503447460666,313,-3.17625935998992
ada,1041.6666666666665,971.5285897848108,10,6.0,415,138,6.738476447189356,277,-3.459859783131117
ada,1041.6666666666665,996.5510518985661,10,6.5,364,132,6.636951649731363,232,-3.791062783905062
ada,1041.6666666666665,1015.0051030180991,10,7.0,325,114,7.1321770047871205,211,-3.7822894574769363
ada,1041.6666666666665,1049.5536345333608,10,7.5,289,101,7.643972628230924,188,-3.8430191538189487
ada,1041.6666666666665,1091.2638612019653,10,8.0,258,92,7.966778772202165,166,-3.86554087855804
ada,1041.6666666666665,1060.128677793955,10,8.5,239,79,9.010263142870238,160,-4.073013190579966
ada,1041.6666666666665,1163.9289315550309,10,9.0,217,69,11.27023851473111,148,-4.146740040279839
ada,1041.6666666666665,1200.2366360699023,10,9.5,199,64,11.844542118152503,135,-4.131955996235976
ada,1041.6666666666665,1224.5438410569257,10,10.0,184,63,11.52647783410212,121,-4.145655061913294
ada,1041.6666666666665,1242.6843410581032,10,10.5,169,59,12.269923414293114,110,-4.374919458047178
ada,1041.6666666666665,1233.9366188028134,10,11.0,158,54,13.349132300932341,104,-4.681889667764737
ada,1041.6666666666665,1240.6764789763272,10,11.5,150,53,13.405006051738917,97,-4.843183935730264
ada,1041.6666666666665,1220.5010360906158,10,12.0,139,50,13.474579264767566,89,-5.092448619637802
ada,1041.6666666666665,1236.8185930145473,10,12.5,133,45,15.368291366544938,88,-5.1676649827269925
ada,1041.6666666666665,1220.1068544613174,10,13.0,126,44,15.209893778052583,82,-5.477176485036547
ada,1041.6666666666665,1210.1209964377729,10,13.5,120,39,16.464867752637865,81,-5.333442542161776
ada,1041.6666666666665,1213.8546429448081,10,14.0,114,39,16.033752262338524,75,-5.4861559371519215
ada,1041.6666666666665,1233.90244630926,10,14.5,104,38,15.758734380499178,66,-5.529234244692521
ada,1041.6666666666665,1269.3423880110179,10,15.0,97,35,18.104522859179323,62,-5.8760630977460835
ada,1041.6666666666665,1272.4903155550207,10,15.5,91,35,17.728312274876497,56,-6.2142966797438515
ada,1041.6666666666665,1304.0999024168118,10,16.0,84,32,20.064758383216052,52,-6.499468573963492
ada,1041.6666666666665,1296.8328754424194,10,16.5,82,31,20.315982388519494,51,-6.52867801179774
ada,1041.6666666666665,1251.4208701745692,10,17.0,82,30,20.40151338581781,52,-6.935087142307028
ada,1041.6666666666665,1243.1190978042666,10,17.5,79,29,20.60523287355265,50,-7.088653110575217
ada,1041.6666666666665,1213.2056635193564,10,18.0,76,26,22.130898152272984,50,-7.2439537687948174
ada,1041.6666666666665,1211.8878919041142,10,18.5,72,25,22.639394286342664,47,-7.53397798413729
ada,1041.6666666666665,1209.8317679936854,10,19.0,69,25,21.839430127337295,44,-7.63986329976699
ada,1041.6666666666665,-165.24293710615012,11,2.0,2269,592,2.8273165832032547,1677,-1.6929125547778647
ada,1041.6666666666665,252.7378439608121,11,2.5,1617,439,3.4480165443536195,1178,-1.9193051095164904
ada,1041.6666666666665,516.4429422821298,11,3.0,1214,339,3.9886970922689153,875,-2.0979718537108982
ada,1041.6666666666665,715.9958278237625,11,3.5,949,282,4.513298071592169,667,-2.3339643603676623
ada,1041.6666666666665,881.159439551867,11,4.0,753,237,5.064397480018131,516,-2.556400703900057
ada,1041.6666666666665,1033.7166546007418,11,4.5,611,197,5.884087163793222,414,-2.718474677938465
ada,1041.6666666666665,1024.1173650766307,11,5.0,526,167,6.337926697466756,359,-2.881104159889467
ada,1041.6666666666665,992.9885872620621,11,5.5,461,156,6.189252039386307,305,-3.1886384619088552
ada,1041.6666666666665,959.4199867751262,11,6.0,409,134,6.855393400050755,275,-3.4880099230242667
ada,1041.6666666666665,1008.8778072932382,11,6.5,356,127,6.865230313588111,229,-3.7685870852945555
ada,1041.6666666666665,1010.6685311221909,11,7.0,319,113,7.000217200571637,206,-3.7881359832155583
ada,1041.6666666666665,1008.2433577188118,11,7.5,289,100,7.444265068414185,189,-3.8951489371566557
ada,1041.6666666666665,1068.2389720713438,11,8.0,256,90,7.969573629321889,166,-3.909775027515826
ada,1041.6666666666665,1116.8259963947582,11,8.5,228,79,9.228037762121211,149,-4.108650918206819
ada,1041.6666666666665,1200.2451223534117,11,9.0,209,71,10.859017915001239,138,-4.135834417475911
ada,1041.6666666666665,1210.6465254631075,11,9.5,195,63,11.9861770123075,132,-4.124868381153516
ada,1041.6666666666665,1200.843718124466,11,10.0,184,61,11.622287864250316,123,-4.131023102396776
ada,1041.6666666666665,1219.1718571961508,11,10.5,166,60,11.472305249739316,106,-4.426098658379313
ada,1041.6666666666665,1239.3028411500186,11,11.0,154,53,13.469102529305651,101,-4.698609830724571
ada,1041.6666666666665,1220.9858721379983,11,11.5,146,52,13.10823846799171,94,-4.9004524276337325
ada,1041.6666666666665,1203.0074410921698,11,12.0,139,48,13.882985676567628,91,-5.09204254267118
ada,1041.6666666666665,1214.5274617941595,11,12.5,129,42,15.774822677205918,87,-5.149598743086085
ada,1041.6666666666665,1181.830763755088,11,13.0,125,41,15.955660257258062,84,-5.623229842767775
ada,1041.6666666666665,1199.570546030817,11,13.5,117,39,16.25878008893329,78,-5.57079330048181
ada,1041.6666666666665,1224.528741365533,11,14.0,108,38,16.1541881899608,70,-5.56186299789967
ada,1041.6666666666665,1248.3173412574704,11,14.5,100,37,16.45458736449956,63,-5.722260178238286
ada,1041.6666666666665,1310.794019506761,11,15.0,91,34,18.86520045286931,57,-5.800399927908676
ada,1041.6666666666665,1328.9010658768043,11,15.5,84,32,20.47803867247385,52,-6.27684945466074
ada,1041.6666666666665,1307.8607333036266,11,16.0,82,32,19.89671816032617,50,-6.576684956536205
ada,1041.6666666666665,1267.5914598543359,11,16.5,82,32,19.453899764278198,50,-7.09866665205133
ada,1041.6666666666665,1235.956428730333,11,17.0,80,30,20.08850897908015,50,-7.333976812841432
ada,1041.6666666666665,1229.2836413516634,11,17.5,76,28,21.017247319496825,48,-7.483318408213502
ada,1041.6666666666665,1220.9880700723625,11,18.0,73,26,22.02466124967875,47,-7.481981328069896
ada,1041.6666666666665,1247.915960829972,11,18.5,66,25,22.467174766245613,41,-7.652766056735839
ada,1041.6666666666665,1218.4292333493252,11,19.0,66,23,23.779103844665464,43,-7.639305932046078
ada,1041.6666666666665,-192.10614880218134,12,2.0,2273,593,2.795135532521925,1680,-1.6962032854688605
ada,1041.6666666666665,288.48921188048564,12,2.5,1614,454,3.293614189917504,1160,-1.9024238192603968
ada,1041.6666666666665,480.8001997169163,12,3.0,1213,342,3.9736363108266377,871,-2.1563529490078035
ada,1041.6666666666665,706.6194767467556,12,3.5,945,282,4.588821101769036,663,-2.3943108204405923
ada,1041.6666666666665,863.2670077886744,12,4.0,751,233,5.117145643765587,518,-2.5656909791673894
ada,1041.6666666666665,1023.3820986185401,12,4.5,605,198,5.672948605726116,407,-2.7023629614624864
ada,1041.6666666666665,1035.7280761216484,12,5.0,516,171,6.131031585592314,345,-2.935299492796055
ada,1041.6666666666665,988.0152309555414,12,5.5,459,151,6.283416195709807,308,-3.1194175798592174
ada,1041.6666666666665,965.2172054617099,12,6.0,402,137,6.550233269298202,265,-3.517602839366576
ada,1041.6666666666665,971.0215203141523,12,6.5,355,126,6.668199556884044,229,-3.795509274468289
ada,1041.6666666666665,1067.0722539179721,12,7.0,307,111,7.004341046568984,196,-3.6245387869958434
ada,1041.6666666666665,1036.1352556067848,12,7.5,282,97,7.5794902494451915,185,-3.778785397780541
ada,1041.6666666666665,1073.4528713529633,12,8.0,251,88,8.277109847793094,163,-4.017992608913064
ada,1041.6666666666665,1145.940797643981,12,8.5,225,75,10.215180064786553,150,-4.1346513814334
ada,1041.6666666666665,1166.312629815288,12,9.0,208,67,11.408055146598786,141,-4.241326702176097
ada,1041.6666666666665,1192.5746559986135,12,9.5,192,63,11.484360466424254,129,-4.11581436733422
ada,1041.6666666666665,1226.1222580867316,12,10.0,174,60,11.577228128667825,114,-4.109749382748582
ada,1041.6666666666665,1250.3010081130699,12,10.5,159,55,13.081574045091443,104,-4.511399657374604
ada,1041.6666666666665,1237.9806852269016,12,11.0,153,50,14.214473927909896,103,-4.589737972510615
ada,1041.6666666666665,1207.1819326599518,12,11.5,143,50,13.503492442806879,93,-5.03217945677842
ada,1041.6666666666665,1185.8582622758593,12,12.0,137,46,14.2069474240507,91,-5.139135376159045
ada,1041.6666666666665,1197.382599527155,12,12.5,127,41,15.932887311167683,86,-5.300764886403733
ada,1041.6666666666665,1180.8394896522211,12,13.0,123,41,15.808014850614951,82,-5.698647795402341
ada,1041.6666666666665,1202.9209380372183,12,13.5,114,40,16.007036576636956,74,-5.910277365246756
ada,1041.6666666666665,1193.6374690611517,12,14.0,108,39,15.669446780867478,69,-6.050303701343182
ada,1041.6666666666665,1318.9683670103107,12,14.5,94,36,18.47778809175692,58,-5.969517315395487
ada,1041.6666666666665,1310.1219615441007,12,15.0,87,32,20.745322833267487,55,-6.431424893099235
ada,1041.6666666666665,1303.5385126417304,12,15.5,84,31,20.898557074916493,53,-6.496542578880762
ada,1041.6666666666665,1285.1800364372189,12,16.0,82,31,20.47879480786053,51,-6.856129462871715
ada,1041.6666666666665,1247.1264015763381,12,16.5,81,31,19.71352944724676,50,-7.279860225766227
ada,1041.6666666666665,1205.5961773391236,12,17.0,80,28,21.1215163020622,52,-7.419351521511874
ada,1041.6666666666665,1207.225631250362,12,17.5,77,26,22.335985945213697,51,-7.323725555395963
ada,1041.6666666666665,1206.5283095917064,12,18.0,71,24,23.1939322937522,47,-7.449490754432913
ada,1041.6666666666665,1219.7398473691096,12,18.5,67,22,25.11727127953649,45,-7.396447128459864
ada,1041.6666666666665,1183.4638392850115,12,19.0,66,22,24.225652366953206,44,-7.943193472453642
ada,1041.6666666666665,-205.2047900786618,13,2.0,2283,588,2.856556036657172,1695,-1.701982147276154
ada,1041.6666666666665,267.222895252258,13,2.5,1614,445,3.336023033350099,1169,-1.8967556497763336
ada,1041.6666666666665,511.97025870032974,13,3.0,1212,345,3.9674717750742277,867,-2.141646486390175
ada,1041.6666666666665,698.924783946653,13,3.5,944,277,4.624013167885381,667,-2.371704443114841
ada,1041.6666666666665,844.2319975676529,13,4.0,753,235,5.096855142233963,518,-2.612990271925346
ada,1041.6666666666665,1021.3308211809842,13,4.5,610,198,5.755358396085156,412,-2.714150828261839
ada,1041.6666666666665,1037.6384557001618,13,5.0,513,172,6.088387695341738,341,-2.960598908793597
ada,1041.6666666666665,1009.4056976657444,13,5.5,449,151,6.231408539832606,298,-3.125963059895899
ada,1041.6666666666665,981.7844339726663,13,6.0,398,132,6.76979543325253,266,-3.4279269293859644
ada,1041.6666666666665,1002.916974749009,13,6.5,348,123,6.729019601631772,225,-3.6655663833408845
ada,1041.6666666666665,997.5418017643863,13,7.0,310,109,6.909198517589176,201,-3.7590091375762946
ada,1041.6666666666665,1029.8711412125833,13,7.5,276,95,7.527404062218566,181,-3.7858135066197893
ada,1041.6666666666665,1080.4221595815247,13,8.0,244,86,8.388472831326684,158,-4.0568766070415885
ada,1041.6666666666665,1148.9727927422084,13,8.5,222,76,9.93858018801812,146,-4.153145901007994
ada,1041.6666666666665,1200.193654113875,13,9.0,204,64,11.7392948461356,140,-3.9365801145628754
ada,1041.6666666666665,1226.2254155556961,13,9.5,187,60,12.245658803184025,127,-4.004048130986977
ada,1041.6666666666665,1236.8170558457637,13,10.0,171,59,12.245810897375954,112,-4.336480241959076
ada,1041.6666666666665,1240.0385867178975,13,10.5,157,54,13.169000159997726,103,-4.573664290504648
ada,1041.6666666666665,1256.8858964476794,13,11.0,148,51,13.860099912651568,97,-4.638960815438672
ada,1041.6666666666665,1216.558246266678,13,11.5,141,48,14.053168613810692,93,-4.924665023615433
ada,1041.6666666666665,1182.5491528759808,13,12.0,135,44,14.7166620505244,91,-5.109714036781243
ada,1041.6666666666665,1165.4943805552066,13,12.5,130,41,15.743074184060053,89,-5.392940011137708
ada,1041.6666666666665,1189.5907475261915,13,13.0,120,39,16.499175133090556,81,-5.603420773633828
ada,1041.6666666666665,1175.4211237205002,13,13.5,114,39,16.013296938136797,75,-5.987966091557798
ada,1041.6666666666665,1243.0649520868162,13,14.0,105,37,17.939929844571534,68,-6.1869478259166115
ada,1041.6666666666665,1286.8088684846607,13,14.5,94,34,19.171111275261698,60,-6.083481914570615
ada,1041.6666666666665,1285.069929560682,13,15.0,87,34,18.82068961860121,53,-6.694972027769035
ada,1041.6666666666665,1289.0781499873403,13,15.5,84,31,20.78956684946228,53,-6.705630610301698
ada,1041.6666666666665,1256.9719018613796,13,16.0,82,31,20.00860680943692,51,-7.123429592767935
ada,1041.6666666666665,1216.5815011255177,13,16.5,81,28,21.528246325473305,53,-7.286969735617629
ada,1041.6666666666665,1185.2160272780266,13,17.0,79,26,22.43900188952451,53,-7.513170223577546
ada,1041.6666666666665,1222.5364030493479,13,17.5,72,25,22.778971172449154,47,-7.381656941742168
ada,1041.6666666666665,1201.267826694276,13,18.0,69,22,25.164359606041398,47,-7.496767758268842
ada,1041.6666666666665,1191.2705557538063,13,18.5,67,22,24.401235936349476,45,-7.679036329908507
ada,1041.6666666666665,1182.4488738042808,13,19.0,65,22,23.778582469659145,43,-7.922789314609794
ada,1041.6666666666665,-208.58905998543875,14,2.0,2280,594,2.8469844126161634,1686,-1.719868209418411
ada,1041.6666666666665,246.77614308912771,14,2.5,1626,447,3.350809945164197,1179,-1.9092755745540855
ada,1041.6666666666665,510.6752689683241,14,3.0,1208,339,4.049164548643615,869,-2.1426829839146877
ada,1041.6666666666665,695.8777889372521,14,3.5,943,278,4.584252241232995,665,-2.373750878384241
ada,1041.6666666666665,854.322436107435,14,4.0,748,234,5.090951260084741,514,-2.6010898030202214
ada,1041.6666666666665,1005.881419641643,14,4.5,613,195,5.808401638261675,418,-2.695590669424366
ada,1041.6666666666665,1040.5484204317706,14,5.0,508,170,6.104742344097771,338,-2.9504667990084297
ada,1041.6666666666665,999.4902412757532,14,5.5,448,150,6.315503858072179,298,-3.180655494748566
ada,1041.6666666666665,973.3254857429034,14,6.0,391,133,6.615020663990269,258,-3.5134583820457395
ada,1041.6666666666665,978.1483081188795,14,6.5,348,122,6.628164540715264,226,-3.674724627647717
ada,1041.6666666666665,990.1695306331927,14,7.0,307,109,6.962400247608058,198,-3.8824853351317534
ada,1041.6666666666665,1020.8368010434481,14,7.5,274,100,7.218680566486998,174,-4.028915262099152
ada,1041.6666666666665,1108.8712214405982,14,8.0,240,84,8.686368551736352,156,-3.979382928879836
ada,1041.6666666666665,1135.2777249001203,14,8.5,221,76,9.900177939212073,145,-4.256108955034451
ada,1041.6666666666665,1189.735140572426,14,9.0,202,64,11.608217257515992,138,-4.008628723975342
ada,1041.6666666666665,1218.3115120755012,14,9.5,182,64,11.201537647973744,118,-4.2253126897866
ada,1041.6666666666665,1212.7970292801729,14,10.0,171,58,12.319513743783844,113,-4.44013068902026
ada,1041.6666666666665,1247.2631727419741,14,10.5,155,54,12.993215608986565,101,-4.498717526171282
ada,1041.6666666666665,1253.3704721944341,14,11.0,144,53,13.14921219412473,91,-4.874041473562381
ada,1041.6666666666665,1203.6531370667842,14,11.5,140,49,13.699059818086136,91,-5.1384702639498405
ada,1041.6666666666665,1163.3211829341637,14,12.0,134,44,14.551288828309293,90,-5.299283616793847
ada,1041.6666666666665,1196.7034391933125,14,12.5,127,41,16.090414139494662,86,-5.383762099139182
ada,1041.6666666666665,1166.3220203766625,14,13.0,121,39,16.33961680365212,82,-5.742963841045978
ada,1041.6666666666665,1209.4655035513122,14,13.5,110,38,17.158456900269062,72,-6.146609148040445
ada,1041.6666666666665,1245.1165882019777,14,14.0,101,37,17.463010868762684,64,-6.265856467847513
ada,1041.6666666666665,1278.5258550727458,14,14.5,93,32,20.43755571209575,61,-6.155343077283904
ada,1041.6666666666665,1286.0952070684218,14,15.0,87,31,20.76187635777139,56,-6.384338571830191
ada,1041.6666666666665,1286.8625962692033,14,15.5,82,31,20.43668379859912,51,-6.797541205634689
ada,1041.6666666666665,1245.6006989501293,14,16.0,81,31,20.026176841462945,50,-7.50421566270443
ada,1041.6666666666665,1200.0367567196201,14,16.5,79,26,22.79490209251763,53,-7.40812637143089
ada,1041.6666666666665,1171.775404996042,14,17.0,78,25,22.826167502500795,53,-7.52601476540525
ada,1041.6666666666665,1179.2350737352117,14,17.5,73,23,23.974795544094608,50,-7.443704475579299
ada,1041.6666666666665,1173.811153518964,14,18.0,69,22,24.534929174173826,47,-7.786325283252354
ada,1041.6666666666665,1186.954312583204,14,18.5,66,22,24.22718473840395,44,-7.864630719583715
ada,1041.6666666666665,1154.9779881751067,14,19.0,65,22,23.03995633034315,43,-8.18374537424287
ada,1041.6666666666665,-179.15173771074262,15,2.0,2271,601,2.8318369602018345,1670,-1.725201048378471
ada,1041.6666666666665,230.0689491468187,15,2.5,1631,445,3.372298527153228,1186,-1.91450581402729
ada,1041.6666666666665,539.3742116097657,15,3.0,1199,341,4.052477621063954,858,-2.1474599733951565
ada,1041.6666666666665,708.7421325373676,15,3.5,946,282,4.586001901490144,664,-2.38631084891996
ada,1041.6666666666665,874.5645646043366,15,4.0,752,235,5.096483567419757,517,-2.5592051716427577
ada,1041.6666666666665,1008.700878570811,15,4.5,611,195,5.780480580085366,416,-2.6886846984274877
ada,1041.6666666666665,1004.9206672956924,15,5.0,517,173,6.0193792648946145,344,-3.0128835625903347
ada,1041.6666666666665,959.0752278238353,15,5.5,454,150,6.323001280159256,304,-3.2545229085528034
ada,1041.6666666666665,997.7832112040478,15,6.0,390,135,6.557377712984027,255,-3.480246196269782
ada,1041.6666666666665,964.819205704863,15,6.5,344,119,6.818262339632084,225,-3.7624622787171353
ada,1041.6666666666665,975.4719180471614,15,7.0,308,108,6.898732786166706,200,-3.847956114294218
ada,1041.6666666666665,1034.0488718110048,15,7.5,271,98,7.253208117968295,173,-3.9119394436409762
ada,1041.6666666666665,1160.6701747128254,15,8.0,235,82,9.218247973817665,153,-3.890367053204068
ada,1041.6666666666665,1161.8502573081084,15,8.5,217,74,10.11010284544036,143,-4.099981491290044
ada,1041.6666666666665,1190.503455810568,15,9.0,199,64,11.567727110562188,135,-4.072822809373424
ada,1041.6666666666665,1213.2925512085865,15,9.5,182,62,11.688181775925052,120,-4.261455990823056
ada,1041.6666666666665,1228.6323551787577,15,10.0,168,59,12.19039187299503,109,-4.500924452549986
ada,1041.6666666666665,1204.1566958249696,15,10.5,159,56,12.155357755284268,103,-4.626634354086882
ada,1041.6666666666665,1248.7293092508662,15,11.0,143,53,12.972185079219654,90,-4.875516666086388
ada,1041.6666666666665,1192.5855071359285,15,11.5,138,46,14.434750447253945,92,-5.124054493888616
ada,1041.6666666666665,1187.4934501347238,15,12.0,130,41,16.109108746646726,89,-5.314382117728006
ada,1041.6666666666665,1187.475494655868,15,12.5,124,40,16.320188432087235,84,-5.539667174138364
ada,1041.6666666666665,1210.325560706061,15,13.0,116,40,16.30530549403975,76,-5.814298145467487
ada,1041.6666666666665,1213.7651844921734,15,13.5,109,38,16.99934024649233,71,-6.087461195415981
ada,1041.6666666666665,1221.5451230621452,15,14.0,102,37,17.35463880934421,65,-6.470407890516771
ada,1041.6666666666665,1286.0176585783963,15,14.5,92,32,20.950666461282708,60,-6.406727803044175
ada,1041.6666666666665,1300.501913732238,15,15.0,85,30,21.533670487411335,55,-6.281967288910936
ada,1041.6666666666665,1279.875039206744,15,15.5,81,31,20.436210901867334,50,-7.072949975022865
ada,1041.6666666666665,1233.459196383877,15,16.0,80,29,21.2155709242362,51,-7.486124714097488
ada,1041.6666666666665,1209.7872886756072,15,16.5,78,26,22.847307044446914,52,-7.389282586154076
ada,1041.6666666666665,1179.5276151882324,15,17.0,76,24,23.845555894804917,52,-7.553187043982418
ada,1041.6666666666665,1193.0858640363624,15,17.5,70,22,25.182336675913177,48,-7.519282142369334
ada,1041.6666666666665,1187.7312672401454,15,18.0,67,22,24.46385993527116,45,-7.788303363018244
ada,1041.6666666666665,1189.3567443012741,15,18.5,65,22,24.194968477496026,43,-7.975175865200914
ada,1041.6666666666665,1147.507005790228,15,19.0,65,22,23.011748539130842,43,-8.343057257457007
ada,1041.6666666666665,-208.74699551724444,16,2.0,2266,607,2.799198517160719,1659,-1.7527790810330326
ada,1041.6666666666665,237.2167162597509,16,2.5,1627,449,3.3389331819664925,1178,-1.9201734146376936
ada,1041.6666666666665,537.4720157587249,16,3.0,1202,348,3.972303619361497,854,-2.1602923229263205
ada,1041.6666666666665,730.9950853494798,16,3.5,940,283,4.58424885549119,657,-2.3840903207831468
ada,1041.6666666666665,900.8394828566031,16,4.0,745,236,5.150597854208285,509,-2.582910826594405
ada,1041.6666666666665,989.0988623508067,16,4.5,614,195,5.77468634901406,419,-2.713520228417504
ada,1041.6666666666665,1031.3017486678752,16,5.0,516,172,6.154627343598839,344,-2.986320216369546
ada,1041.6666666666665,931.697293884207,16,5.5,456,151,6.095489186092653,305,-3.2417100761173216
ada,1041.6666666666665,1009.9170909761099,16,6.0,383,136,6.423123199187158,247,-3.496468275762521
ada,1041.6666666666665,957.0265002313035,16,6.5,343,119,6.753176989852402,224,-3.779471256969341
ada,1041.6666666666665,986.0936061036346,16,7.0,303,110,6.582092698634992,193,-3.823505651534789
ada,1041.6666666666665,1064.415429167003,16,7.5,269,96,7.742539510222791,173,-3.9240945885224536
ada,1041.6666666666665,1125.99132323813,16,8.0,236,82,9.074781153060554,154,-4.013900852680743
ada,1041.6666666666665,1124.4207985033402,16,8.5,218,73,9.82865743420274,145,-4.090146166851438
ada,1041.6666666666665,1172.8183221503605,16,9.0,196,64,10.974418686324224,132,-4.011700558896891
ada,1041.6666666666665,1230.469210993466,16,9.5,178,61,12.044265523735769,117,-4.309666546618939
ada,1041.6666666666665,1253.1312729219,16,10.0,165,57,12.880036357976522,108,-4.453988884099649
ada,1041.6666666666665,1225.2903848991914,16,10.5,154,58,11.94325174181498,96,-4.8689397513132935
ada,1041.6666666666665,1229.3729107972026,16,11.0,143,52,13.183375194199316,91,-5.012775816496277
ada,1041.6666666666665,1185.8357265706306,16,11.5,137,43,15.348972300532944,94,-5.044362578215805
ada,1041.6666666666665,1185.4666081669302,16,12.0,129,40,16.476734470519347,89,-5.321379445548814
ada,1041.6666666666665,1201.557433056077,16,12.5,122,40,16.336488837070057,82,-5.511001468618614
ada,1041.6666666666665,1205.5339989965594,16,13.0,113,39,16.442814537013458,74,-5.888321188472501
ada,1041.6666666666665,1196.024794637386,16,13.5,108,39,15.726641032329448,69,-6.048031965557416
ada,1041.6666666666665,1251.7462614472554,16,14.0,100,36,18.391031676188746,64,-6.411419982742794
ada,1041.6666666666665,1309.8591178520087,16,14.5,87,32,20.91175195204861,55,-6.533035356609941
ada,1041.6666666666665,1313.8737551096197,16,15.0,82,32,20.31916431720984,50,-6.726790060821896
ada,1041.6666666666665,1268.2141116078042,16,15.5,80,29,21.65601066457488,51,-7.05510191499739
ada,1041.6666666666665,1243.1776951555992,16,16.0,78,27,22.453526638128853,51,-7.118971060272148
ada,1041.6666666666665,1206.8992000229384,16,16.5,77,24,24.577951390784875,53,-7.22587987463959
ada,1041.6666666666665,1206.2923132911424,16,17.0,72,23,25.032991499664266,49,-7.540132473492576
ada,1041.6666666666665,1188.8755423403625,16,17.5,69,22,24.889661697644783,47,-7.631851383145176
ada,1041.6666666666665,1193.2381020998569,16,18.0,66,22,24.353768499743026,44,-7.785109202147504
ada,1041.6666666666665,1193.4958460854696,16,18.5,64,22,23.991466738488644,42,-7.95991481336383
ada,1041.6666666666665,1175.692183723295,16,19.0,63,21,25.33205005885864,42,-8.482877797922304
ada,1041.6666666666665,-116.75544601734447,17,4.0,741,240,4.994115512801418,501,-2.6254354672448805
ada,1041.6666666666665,38.44734503681426,17,4.5,607,202,5.634038218214316,405,-2.7151317902283396
ada,1041.6666666666665,-0.4440873013405038,17,5.0,520,170,6.159450551754131,350,-2.993001945998694
ada,1041.6666666666665,-56.59537377008492,17,5.5,450,153,5.966884656737166,297,-3.26440648569317
ada,1041.6666666666665,14.481327465505728,17,6.0,378,134,6.4713277324118605,244,-3.494576183105261
ada,1041.6666666666665,-61.95127625100459,17,6.5,341,117,6.8156925829923924,224,-3.836550484201404
ada,1041.6666666666665,3.5507475587384896,17,7.0,301,110,6.640616136711673,191,-3.805848311411233
ada,1041.6666666666665,72.4834596198338,17,7.5,267,94,7.929136519102505,173,-3.889337417201166
ada,1041.6666666666665,91.89906719295831,17,8.0,239,80,9.224378239495717,159,-4.063215043815717
ada,1041.6666666666665,124.3107701963224,17,8.5,216,71,10.008288151165594,145,-4.04329440369955
ada,1041.6666666666665,184.18549481552998,17,9.0,193,65,10.893208155962988,128,-4.0927580884536265
ada,1041.6666666666665,220.77432814672596,17,9.5,177,60,12.215244737858132,117,-4.3772680010663425
ada,1041.6666666666665,257.0394785328114,17,10.0,163,57,12.905246386385903,106,-4.5147128819923115
ada,1041.6666666666665,228.7654961037534,17,10.5,151,57,12.209128842161375,94,-4.969732424462179
ada,1041.6666666666665,208.15135189512208,17,11.0,144,54,12.584683852794093,90,-5.238017512841766
ada,1041.6666666666665,195.33329401616217,17,11.5,132,41,15.850192448149226,91,-4.994775784153364
ada,1041.6666666666665,172.89688726649712,17,12.0,128,39,16.7354695789604,89,-5.39085872261751
ada,1041.6666666666665,196.9018241954526,17,12.5,118,41,15.41375418605582,77,-5.650157109517351
ada,1041.6666666666665,213.38091513853507,17,13.0,111,40,15.76672269903257,71,-5.877295673560111
ada,1041.6666666666665,213.63012189838312,17,13.5,106,39,15.700602238100677,67,-5.950647244590199
ada,1041.6666666666665,274.3079960081227,17,14.0,96,33,19.984926847842118,63,-6.114199840804242
ada,1041.6666666666665,304.915188686156,17,14.5,86,32,20.679637288506576,54,-6.608022306408417
ada,1041.6666666666665,297.1410927209601,17,15.0,81,31,20.574518829590005,50,-6.813379819926606
ada,1041.6666666666665,260.6656875452816,17,15.5,79,26,23.863569151489568,53,-6.788436045159382
ada,1041.6666666666665,248.68842862961048,17,16.0,77,26,23.249308546721956,51,-6.976344972258045
ada,1041.6666666666665,222.39244486797398,17,16.5,74,25,23.428677554153513,49,-7.41478559154824
