coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss
ada,1041.6666666666665,1178.5650444679702,2,12.5,224,77,9.790414236568582,147,-3.9135840254953096
ada,1041.6666666666665,1145.6114472383929,2,13.0,219,76,9.488507456366413,143,-4.024581254863312
ada,1041.6666666666665,1159.4664004249491,2,13.5,209,71,10.184599178544387,138,-4.084348849650008
ada,1041.6666666666665,1195.0976502414933,2,14.0,198,65,11.667618295334407,133,-4.235319841768735
ada,1041.6666666666665,1196.9966010871874,2,14.5,189,66,11.208125239188535,123,-4.412517599180932
ada,1041.6666666666665,1189.4358028056904,2,15.0,181,64,11.147422744136513,117,-4.478626092470483
ada,1041.6666666666665,1169.2783556704112,2,15.5,176,57,12.58541350480518,119,-4.6058001185166715
ada,1041.6666666666665,1178.9765731461875,2,16.0,169,54,12.99662927688818,115,-4.54644702439803
ada,1041.6666666666665,1171.536840736018,2,16.5,162,52,13.146818754136895,110,-4.655433949810002
ada,1041.6666666666665,1154.4014742502673,2,17.0,159,51,13.161626268112617,108,-4.785569124291445
ada,1041.6666666666665,1225.8464193713965,2,17.5,148,47,14.889862970150936,101,-4.692842972531647
ada,1041.6666666666665,1262.7159382246323,2,18.0,141,47,14.979454451502146,94,-4.694876819106047
ada,1041.6666666666665,1230.0352129072521,2,18.5,137,46,14.823073933184935,91,-4.965122945266536
ada,1041.6666666666665,1215.5220403732526,2,19.0,132,45,14.768670610327177,87,-5.1617027251893175
ada,1041.6666666666665,-257.16654349478955,3,2.0,2380,588,2.727523469746691,1792,-1.5965124685858505
ada,1041.6666666666665,69.34568002350176,3,2.5,1771,451,3.341864249804741,1320,-1.8468447701806354
ada,1041.6666666666665,370.64355028618684,3,3.0,1370,370,3.665398088009746,1000,-1.9855537422774199
ada,1041.6666666666665,591.55965962819,3,3.5,1102,317,4.078961357848247,785,-2.167479096572874
ada,1041.6666666666665,722.0095227564705,3,4.0,912,277,4.428434310640061,635,-2.369553986284768
ada,1041.6666666666665,897.9275494117544,3,4.5,760,247,4.705666012892461,513,-2.464662681818096
ada,1041.6666666666665,1000.9492236299103,3,5.0,659,208,5.591114466009273,451,-2.576502406430194
ada,1041.6666666666665,995.8530999636425,3,5.5,580,184,5.9798979647573685,396,-2.7890104180598767
ada,1041.6666666666665,1006.9830797055768,3,6.0,521,171,6.011585212678437,350,-2.9171371190355346
ada,1041.6666666666665,1000.7742138414295,3,6.5,471,156,6.407972043863096,315,-3.171014047622903
ada,1041.6666666666665,1025.8921872098213,3,7.0,418,151,6.1655484979697786,267,-3.389908749002308
ada,1041.6666666666665,1075.1749799023655,3,7.5,382,135,6.732944833149193,247,-3.3755974598088128
