coinpair,timeframe,length_in_days,trend,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss,avarage_pnl_per_month,profit_amounts,loss_amounts
btc,4h,976.8333333333333,_recentYear,421.5507500065652,6,11.0,8,5,92.04707669373104,3,-12.894877820696664,12.946448558468136,"""[15.582457414012612, 43.94660953533091, 366.56062302397646, 25.490536373766947, 8.655157121568246]""","""[-14.784437900437387, -7.182350801823004, -16.7178447598296]"""
btc,4h,976.8333333333333,_recentYear,395.08750819233234,7,11.0,8,5,86.91425905060642,3,-13.161262353566576,12.133723165777143,"""[13.200317156055728, 43.94660953533091, 352.27341946584176, 16.49579197423543, 8.655157121568246]""","""[-15.58359149904712, -7.182350801823004, -16.7178447598296]"""
btc,4h,976.8333333333333,_recentYear,402.09014242023284,6,11.5,8,5,88.60086444923812,3,-13.638059941985924,12.348784445596642,"""[13.200317156055728, 41.09835195738223, 366.56062302397646, 13.489872987207958, 8.655157121568246]""","""[-15.58359149904712, -8.526676804850203, -16.803911522060456]"""
btc,4h,976.8333333333333,_recentYear,416.064533334853,8,10.5,8,5,90.40868523523389,3,-11.992964280438818,12.777958710164402,"""[17.550908536136284, 43.94660953533091, 363.42736906010265, 16.49579197423543, 10.622747070364177]""","""[-14.784437900437387, -4.476610181049467, -16.7178447598296]"""
btc,4h,976.8333333333333,_recentYear,405.78080182574627,5,12.0,8,5,89.40362669331522,3,-13.745777213609955,12.46213006801473,"""[13.200317156055728, 41.09835195738223, 366.56062302397646, 13.489872987207958, 12.668968341953768]""","""[-15.992810076150063, -8.526676804850203, -16.7178447598296]"""
btc,4h,976.8333333333333,_recentYear,407.26993167380544,10,10.5,8,5,89.5955662364028,3,-13.569299836069519,12.507863453554853,"""[13.200317156055728, 41.09835195738223, 366.56062302397646, 16.49579197423543, 10.622747070364177]""","""[-15.992810076150063, -7.182350801823004, -17.532738630235492]"""
btc,4h,976.8333333333333,_recentYear,417.087615977537,7,10.5,8,5,90.6634000737483,3,-12.076461463734839,12.809379095027582,"""[17.550908536136284, 44.68451722763766, 363.42736906010265, 17.031458474500692, 10.622747070364177]""","""[-14.784437900437387, -4.7271017309375285, -16.7178447598296]"""
btc,4h,976.8333333333333,_recentYear,431.6483316527258,4,11.5,9,6,77.24632018451938,3,-10.60986315146347,13.256560262325653,"""[17.550908536136284, 21.032608946973994, 11.398724357959685, 385.29689653148455, 13.489872987207958, 14.7089097473538]""","""[-14.784437900437387, -3.3356689056337916, -13.709482648319234]"""
btc,4h,976.8333333333333,_recentYear,405.8380082252748,11,10.5,8,5,89.30918154669668,3,-13.569299836069519,12.463886961363158,"""[13.200317156055728, 41.09835195738223, 366.56062302397646, 17.031458474500692, 8.655157121568246]""","""[-15.992810076150063, -7.182350801823004, -17.532738630235492]"""
btc,4h,976.8333333333333,_recentYear,387.2886794031888,6,12.0,8,5,86.26020611411211,3,-14.670783722457266,11.894209570478413,"""[12.59614904015851, 34.27231967569747, 366.56062302397646, 13.489872987207958, 4.382065843520172]""","""[-17.9529357322861, -8.526676804850203, -17.532738630235492]"""
